city,city_ascii,lat,lng,country,iso2,iso3,capital,population,id
Tokyo,Tokyo,35.6839,139.7744,Japan,JP,JPN,primary,39105000,1392685764
Jakarta,Jakarta,-6.2146,106.8451,Indonesia,ID,IDN,primary,35362000,1360771077
Delhi,Delhi,28.6667,77.2167,India,IN,IND,admin,31870000,1356872604
Manila,Manila,14.6,120.9833,Philippines,PH,PHL,primary,23971000,1608618140
São Paulo,Sao Paulo,-23.5504,-46.6339,Brazil,BR,BRA,admin,22495000,1076532519
Seoul,Seoul,37.56,126.99,South Korea,KR,KOR,primary,22394000,1410836482
Mumbai,Mumbai,19.0758,72.8775,India,IN,IND,admin,22186000,1356226629
Shanghai,Shanghai,31.1667,121.4667,China,CN,CHN,admin,22118000,1156073548
Mexico City,Mexico City,19.4333,-99.1333,Mexico,MX,MEX,primary,21505000,1484247881
Guangzhou,Guangzhou,23.1288,113.259,China,CN,CHN,admin,21489000,1156237133
Cairo,Cairo,30.0444,31.2358,Egypt,EG,EGY,primary,19787000,1818253931
Beijing,Beijing,39.904,116.4075,China,CN,CHN,primary,19437000,1156228865
New York,New York,40.6943,-73.9249,United States,US,USA,,18713220,1840034016
Kolkāta,Kolkata,22.5727,88.3639,India,IN,IND,admin,18698000,1356060520
Moscow,Moscow,55.7558,37.6178,Russia,RU,RUS,primary,17693000,1643318494
Bangkok,Bangkok,13.75,100.5167,Thailand,TH,THA,primary,17573000,1764068610
Dhaka,Dhaka,23.7289,90.3944,Bangladesh,BD,BGD,primary,16839000,1050529279
Buenos Aires,Buenos Aires,-34.5997,-58.3819,Argentina,AR,ARG,primary,16216000,1032717330
Ōsaka,Osaka,34.752,135.4582,Japan,JP,JPN,admin,15490000,1392419823
Lagos,Lagos,6.45,3.4,Nigeria,NG,NGA,minor,15487000,1566593751
Istanbul,Istanbul,41.01,28.9603,Turkey,TR,TUR,admin,15311000,1792756324
Karachi,Karachi,24.86,67.01,Pakistan,PK,PAK,admin,15292000,1586129469
Kinshasa,Kinshasa,-4.3317,15.3139,Congo (Kinshasa),CD,COD,primary,15056000,1180000363
Shenzhen,Shenzhen,22.535,114.054,China,CN,CHN,minor,14678000,1156158707
Bangalore,Bangalore,12.9791,77.5913,India,IN,IND,admin,13999000,1356410365
Ho Chi Minh City,Ho Chi Minh City,10.8167,106.6333,Vietnam,VN,VNM,admin,13954000,1704774326
Tehran,Tehran,35.7,51.4167,Iran,IR,IRN,primary,13819000,1364305026
Los Angeles,Los Angeles,34.1139,-118.4068,United States,US,USA,,12750807,1840020491
Rio de Janeiro,Rio de Janeiro,-22.9083,-43.1964,Brazil,BR,BRA,admin,12486000,1076887657
Chengdu,Chengdu,30.66,104.0633,China,CN,CHN,admin,11920000,1156421555
Baoding,Baoding,38.8671,115.4845,China,CN,CHN,,11860000,1156256829
Chennai,Chennai,13.0825,80.275,India,IN,IND,admin,11564000,1356374944
